MonthStart,proxy_el_nino,sst_only_IsolationForest_pred,sst_only_OneClassSVM_pred,sst_only_LocalOutlierFactor_pred,multivariate_IsolationForest_pred,multivariate_OneClassSVM_pred,multivariate_LocalOutlierFactor_pred,total_flags,all_models_agree
1980-03-01,0,0,0,1,0,0,0,1,0
1980-08-01,0,0,0,0,0,0,0,0,1
1980-09-01,0,0,0,0,0,0,0,0,1
1980-10-01,0,0,0,0,0,0,0,0,1
1980-11-01,0,0,0,0,0,0,0,0,1
1980-12-01,0,0,0,0,0,0,0,0,1
1981-01-01,0,1,1,0,0,0,0,2,0
1981-02-01,0,0,0,0,0,0,0,0,1
1981-03-01,0,1,1,1,0,1,1,5,0
1981-07-01,0,1,0,0,0,0,0,1,0
1981-08-01,0,1,1,1,1,1,0,5,0
1981-09-01,0,1,1,1,1,1,1,6,1
1981-10-01,0,1,0,0,0,0,0,1,0
1981-11-01,0,0,0,0,0,0,0,0,1
1981-12-01,0,1,0,0,1,0,0,2,0
1982-01-01,0,0,0,0,0,0,0,0,1
1982-02-01,0,0,0,0,0,0,0,0,1
1982-03-01,0,0,0,0,0,0,0,0,1
1982-04-01,0,0,0,0,0,0,0,0,1
1982-05-01,0,0,0,0,0,0,0,0,1
1982-06-01,0,0,0,0,0,0,0,0,1
1982-07-01,0,0,1,0,0,1,0,2,0
1982-08-01,0,0,0,0,0,0,0,0,1
1982-09-01,0,0,0,0,0,0,0,0,1
1982-10-01,0,0,1,0,0,1,0,2,0
1982-11-01,0,0,0,1,0,0,0,1,0
1982-12-01,0,0,0,0,0,0,0,0,1
1983-01-01,0,0,1,0,0,0,0,1,0
1983-02-01,0,0,0,0,0,0,0,0,1
1983-03-01,0,0,0,0,1,1,1,3,0
1983-04-01,0,1,1,0,1,0,0,3,0
1983-10-01,0,0,0,0,1,0,0,1,0
1983-11-01,0,0,0,0,0,0,0,0,1
1983-12-01,0,0,1,0,0,0,0,1,0
1984-01-01,0,0,0,0,0,0,0,0,1
1984-02-01,0,1,0,1,0,1,1,4,0
1984-03-01,0,0,0,0,0,0,0,0,1
1984-04-01,0,0,0,0,0,0,0,0,1
1984-05-01,0,0,0,0,0,0,0,0,1
1984-06-01,0,0,0,0,0,0,0,0,1
1984-07-01,0,0,0,0,0,0,0,0,1
1984-08-01,0,0,0,0,0,0,0,0,1
1984-09-01,0,0,0,0,0,0,0,0,1
1984-10-01,0,0,0,0,0,0,0,0,1
1984-11-01,0,0,0,0,0,0,0,0,1
1984-12-01,0,0,0,0,0,1,0,1,0
1985-01-01,0,0,0,0,0,0,0,0,1
1985-02-01,0,0,0,0,0,1,0,1,0
1985-03-01,0,1,0,1,0,0,0,2,0
1985-04-01,0,0,0,0,0,0,0,0,1
1985-05-01,0,0,0,0,0,0,0,0,1
1985-06-01,0,0,0,0,0,0,0,0,1
