MonthStart,sst_anomaly_3mo,proxy_el_nino,sst_only_IsolationForest_pred,sst_only_OneClassSVM_pred,sst_only_LocalOutlierFactor_pred,multivariate_IsolationForest_pred,multivariate_OneClassSVM_pred,multivariate_LocalOutlierFactor_pred
1986-11-01,0.1306744818400006,1,0,1,0,0,0,0
1986-12-01,0.13950233412423624,1,0,0,0,0,0,0
1987-01-01,0.1292313798470777,1,0,0,0,0,0,0
1987-07-01,0.13304238340394425,1,0,0,0,0,0,0
1997-09-01,0.1604035125991211,1,1,0,1,1,1,1
1997-10-01,0.22081874955777595,1,1,1,1,1,1,1
1997-11-01,0.26692406341595987,1,1,0,1,0,0,1
1997-12-01,0.2937237169303444,1,1,0,1,1,0,1
1998-01-01,0.2948016101114778,1,1,1,1,1,1,1
1998-02-01,0.28778857247995737,1,1,1,1,1,0,1
1998-03-01,0.25333098247019376,1,0,0,1,1,1,0
1998-04-01,0.1847854725138358,1,0,0,0,0,0,0
